id	published	title	summary
rssexport.rbc.ru::65e429e99a7947ba0120a5de	2024-03-03 11:14:34+03:00	Минцифры запустит сервис для удаленного участия в судебных заседаниях	Минцифры в 2024 году планирует запустить сервис для дистанционного участия в судебных заседаниях по биометрии, сообщает ТАСС со ссылкой на судебный департамент при Верховном суде.
rssexport.rbc.ru::65dde6f49a7947798142557b	2024-03-03 11:06:18+03:00	Какие три региона показали наибольший рост промышленного производства	Камчатский край, Чувашия и Сахалинская область показали наибольший рост промышленного производства в 2023 году, следует из данных Росстата.
rssexport.rbc.ru::65e4227c9a7947d822f7538b	2024-03-03 11:04:04+03:00	Украинские военные рассказали детали отступления из Авдеевки	Приказ об отступлении следовало отдать раньше, отход войск был сложен и сопряжен с дополнительными потерями, рассказали WP опрошенные украинские военнослужащие. Российские войска заняли город 17 февраля
rssexport.rbc.ru::65e422dc9a79475dfe3d17ad	2024-03-03 10:41:27+03:00	В Ингушетии сообщили о сохранении режима КТО в Карабулаке	В ингушском городе Карабулаке продолжает действовать режим контртеррористической операции (КТО), сообщает ТАСС со ссылкой на оперативные службы региона.
rssexport.rbc.ru::65e41b9e9a794762f8009fe8	2024-03-03 10:15:45+03:00	В Гаити банды выпустили заключенных из главной тюрьмы	В Гаити вооруженные группировки напали на главную тюрьму в Порт-о-Пренсе и выпустили «значительное количество» заключенных, сообщает Gazette Haiti.
rssexport.rbc.ru::65e416869a794776b5992ae5	2024-03-03 10:09:03+03:00	Оппозиция добилась перевыборов в Белграде после массовых протестов	Сербская оппозиция опротестовала декабрьские выборы, правящая партия спустя 2,5 месяца согласилась провести повторное голосование. Наблюдатели сообщали о карусельном голосовании на автобусах, подкупе избирателей и иных нарушениях
rssexport.rbc.ru::65e1b9239a7947e526628c02	2024-03-03 10:00:38+03:00	Нейросети для «чайников»: кто и зачем учит работать с чат-ботами	«Яндекс», «Сбер» и другие компании активно запускают курсы по нейросетям для непрофессионалов. Такие программы начали массово появляться после запуска ChatGPT, хотя пока они почти и не влияют на поиск работы или зарплаты
rssexport.rbc.ru::65e417479a79476e12d807c9	2024-03-03 09:40:12+03:00	Затонувший в Красном море сухогруз перевозил 21 тыс. т опасных удобрений	Британский сухогруз MV Rubymar, который затонул в Красном море после атаки хуситов, перевозил около 21 тыс.
rssexport.rbc.ru::65e408029a79474e3acccc1f	2024-03-03 09:28:55+03:00	Ирану не удалось построить военную базу на «стратегическом перекрестке»	Иран хотел построить базу в Судане, чтобы усилить контроль над Красным морем, но получил отказ от властей страны. В Красном море активно действуют хуситы, пользующиеся поддержкой Тегерана
rssexport.rbc.ru::65e40d409a7947e5a777740a	2024-03-03 09:19:37+03:00	В Евросоюзе назвали наихудший сценарий с транзитом газа через Украину	Европа занимается поиском альтернативных маршрутов снабжения газом стран, которые получают его из России транзитом через Украину. Транзит закончится в конце 2024-го, а холода могут сделать ситуацию проблемной, считает Брюссель
rssexport.rbc.ru::65e2055b9a794703c4a8ee7c	2024-03-03 09:02:33+03:00	Власти Москвы нашли подрядчика для реставрации усадьбы «Останкино»	«Ренессанс реставрация» займется реконструкцией музея-усадьбы «Останкино», построенной еще в XVIII веке. Работы по реставрации обойдутся в 3,2 млрд руб. и станут одними из наиболее дорогих на этом рынке
rssexport.rbc.ru::65e407799a794712b504438d	2024-03-03 08:20:11+03:00	Леброн Джеймс первым в истории НБА достиг отметки 40 тысяч очков	В феврале 2023 года он побил рекорд НБА по количеству набранных очков, превзойдя державшееся с 1989 года достижение Карима Абдул-Джаббара (38 87)
rssexport.rbc.ru::65e402f79a79475c704e56f0	2024-03-03 08:15:28+03:00	Умар Нурмагомедов продлил победную серию в UFC	Нурмагомедов после полученной травмы провел первый бой за год. В декабре он жаловался, что UFC не может найти ему соперника
rssexport.rbc.ru::65e403309a794776b5992ac1	2024-03-03 08:14:11+03:00	Сийярто пообещал приехать на форум «Атомэкспо» в Сочи	Министр иностранных дел Венгрии Петер Сийярто планирует посетить форум «Атомэкспо» в Сочи.
rssexport.rbc.ru::65e3fe519a79475246d77b25	2024-03-03 08:11:05+03:00	Экономисты предрекли второй «китайский шок»	Китай для решения экономических проблем наращивает выпуск товаров, значительно превышая внутренний спрос, страны мира во второй раз переживут наплыв китайского импорта, пишет WSJ. Двадцать лет назад это разорило заводы на Западе
rssexport.rbc.ru::65e3fb8f9a79472279a818e4	2024-03-03 07:52:19+03:00	Первый спутник-разведчик Южной Кореи сделал снимки центра Пхеньяна	Первый разведывательный спутник Южной Кореи передал изображения Пхеньяна в «хорошем разрешении», сообщает Yonhap со ссылкой на военные источники.
rssexport.rbc.ru::65e3f1a29a7947b8c063225e	2024-03-03 07:12:39+03:00	Запуск миссии Crew-8 с российским космонавтом перенесли в четвертый раз	Запуск к МКС космического корабля Crew Dragon отложили в четвертый раз.
rssexport.rbc.ru::65e3e0d99a7947edbff84cc2	2024-03-03 06:43:08+03:00	В США заявили, что Израиль «в основном принял» шестинедельное перемирие	Израиль «более или менее принял» «рамочное соглашение» по шестинедельному перемирию в секторе Газа, сообщил представитель администрации США. Для достижения соглашения Тель-Авив хочет получить список живых заложников, пишет Reuters
rssexport.rbc.ru::65e3ec489a79473e6d44b9bf	2024-03-03 06:34:39+03:00	Бывший вице-президент Эквадора спрятался в посольстве от ареста за взятки	Бывшего вице-президента Эквадора отстранили из-за коррупционного скандала. Он несколько лет провел в тюрьме, а после попросил убежище в посольстве Мексики
rssexport.rbc.ru::65e3e1c09a7947edbff84cc5	2024-03-03 05:53:42+03:00	Минобороны сообщило о срыве ротации ВСУ под Угледаром	Российские военные сорвали попытку ротации ВСУ под городом Угледар, сообщила пресс-служба группировки «Восток».
rssexport.rbc.ru::65e3e4889a794778464d788d	2024-03-03 05:49:03+03:00	Минобороны сообщило об уничтожении почти 40 дронов над Крымом за ночь	Ночью силы ПВО сбили над Крымом 38 дронов, сообщило Минобороны. Ранее было перекрыто движение по Крымскому мосту и участку трассы «Таврида» в районе Феодосии. В Сети сообщали о взрывах в городе
rssexport.rbc.ru::65e3d9fa9a79477cb39e9898	2024-03-03 05:27:10+03:00	Япония примет участие в учениях по космической обороне вместе с НАТО	Япония присоединится к ежегодным французским учениям по космической обороне, в которых также примут участие страны — члены НАТО, сообщает Nikkei Asia.
rssexport.rbc.ru::65e3cd3d9a7947572f8d9031	2024-03-03 05:07:34+03:00	Трамп победил на голосовании в трех штатах	Трамп продолжил победное шествие к посту президента США, победив в кокусах в трех штатах, обойдя свою основную конкурентку Никки Хейли. В Миссури он получил 100% голосов, в Мичигане — 68%, а в Айдахо — 84,6%
rssexport.rbc.ru::65e3cd429a7947572f8d9033	2024-03-03 04:46:36+03:00	Мелони заявила о юридических сложностях при использовании активов России	Использование замороженных российских активов для помощи Украине осложнено юридическими и экономическими проблемами, заявила премьер-министр Италии Джорджа Мелони на пресс-подходе во время визита в Торонто.
rssexport.rbc.ru::65e3c9bf9a7947072e94558e	2024-03-03 04:03:24+03:00	В Днепре прогремели взрывы	В Днепропетровской области объявили воздушную тревогу, сообщили Военно-воздушные силы Украины в телеграм-канале.
rssexport.rbc.ru::65e3c89b9a7947ad3f9f1caa	2024-03-03 04:01:07+03:00	В районе Феодосии перекрыли движение машин после сообщений о взрывах	Движение машин перекрыли по Крымскому мосту, а также на участке трассы «Таврида» в районе Феодосии в керченском направлении, сообщил советник главы Крыма Крючков. Ранее в Сети сообщали о звуках взрывов в Феодосии
rssexport.rbc.ru::65e3c1629a794765bf6ae16a	2024-03-03 03:29:40+03:00	Судья завершил матч за несколько секунд до гола «Реала»	Матч «Реала» и Валенсии» завершился со счетом 2:2. Финальный свисток прозвучал за несколько секунд до гола Беллингема из «Реала», который выразил несогласие из-за того, что мяч не засчитали, и был удален за «агрессию и крики»
rssexport.rbc.ru::65e3b9d29a794765bf6ae163	2024-03-03 03:19:51+03:00	Зеленский дал главкому ВСУ карт-бланш на перестановки в армии	Главком ВСУ Сырский получил карт-бланш на любые кадровые перестановки в армии, заявил Зеленский. Сырский сообщал о выявленных в работе некоторых командиров бригад просчетах, а позже говорил о «кадровых решениях»
rssexport.rbc.ru::65e3b9289a79473d66d134f3	2024-03-03 02:43:23+03:00	В Раде рассказали о проблемах ВСУ при отступлении из Авдеевки	Украинские военные при отступлении из Авдеевки столкнулись с проблемами из-за отсутствия оборонительных позиций, заявил секретарь комитета Верховной рады по национальной безопасности, обороне и разведке, депутат от фракции «Голос» полковник СБУ Роман Костенко в эфире «Радио NV».
rssexport.rbc.ru::65e3acd29a7947425926ca78	2024-03-03 02:27:46+03:00	WSJ заявила о риске ухудшения отношений Германии и НАТО из-за утечки	Утечка разговора немецких военных может привести к ухудшению отношений Германии с союзниками по НАТО, пишет WSJ. Кроме возможной поставки ракет Taurus и удара по Крымскому мосту офицеры упоминали присутствие на Украине военных США
